,Name,DefIndex,QualInt,Trade,Craft,PriceIndex,Currency,Value,Last_Update,Difference
0,Dillinger's Duffel,781.0,6,Tradable,Non-Craftable,0,metal,2.0,1438113663.0,0.23
1,Dillinger's Duffel,781.0,6,Tradable,Craftable,0,metal,2.0,1379254675.0,0.17
2,Festive Shotgun,1141.0,11,Tradable,Craftable,0,keys,2.5,1449871311.0,-1.911
3,Festive Shotgun,1141.0,6,Tradable,Craftable,0,metal,2.0,1452798709.0,-0.5
4,Carbonado Botkiller Knife Mk.I,901.0,11,Tradable,Craftable,0,metal,3.66,1455594472.0,-0.34
5,Smock Surgeon,30365.0,11,Tradable,Craftable,0,keys,3.0,1454013870.0,-9.2475
6,Smock Surgeon,30365.0,6,Tradable,Craftable,0,metal,2.0,1428903572.0,0.17
7,Taunt: Results Are In,1109.0,5,Tradable,Craftable,3012,keys,71.0,1453912314.0,1273.74
8,Taunt: Results Are In,1109.0,5,Tradable,Craftable,3010,keys,45.0,1408035124.0,377.37325
9,Taunt: Results Are In,1109.0,5,Tradable,Craftable,3011,keys,56.0,1417757547.0,708.96
10,Taunt: Results Are In,1109.0,5,Tradable,Craftable,3005,keys,50.0,1443705964.0,80.275
11,Taunt: Results Are In,1109.0,5,Tradable,Craftable,3004,keys,30.0,1440951981.0,-200.0
12,Taunt: Results Are In,1109.0,5,Tradable,Craftable,3007,keys,15.0,1428772309.0,340.0
13,Taunt: Results Are In,1109.0,5,Tradable,Craftable,3006,keys,50.0,1454008699.0,166.455
14,Taunt: Results Are In,1109.0,5,Tradable,Craftable,3001,keys,28.0,1441416654.0,-64.0
15,Taunt: Results Are In,1109.0,5,Tradable,Craftable,3003,keys,30.0,1431721244.0,123.5
16,Taunt: Results Are In,1109.0,5,Tradable,Craftable,3009,keys,17.0,1440900172.0,0.0
17,Taunt: Results Are In,1109.0,5,Tradable,Craftable,3008,keys,19.0,1421955914.0,290.43
18,Taunt: Results Are In,1109.0,6,Tradable,Craftable,0,metal,1.33,1437963735.0,-0.165
19,Mann Co. Supply Crate,5022.0,6,Tradable,Craftable,28,metal,0.33,1432733171.0,0.11
20,Mann Co. Supply Crate,5022.0,6,Tradable,Craftable,29,metal,0.01,1337398191.0,0.0
21,Mann Co. Supply Crate,5022.0,6,Tradable,Craftable,49,metal,0.01,1351651569.0,-0.02
22,Mann Co. Supply Crate,5022.0,6,Tradable,Craftable,32,metal,0.05,1414946460.0,0.01
23,Mann Co. Supply Crate,5022.0,6,Tradable,Craftable,24,metal,0.33,1450459761.0,-0.22
24,Mann Co. Supply Crate,5022.0,6,Tradable,Craftable,25,metal,0.44,1426596107.0,-0.11
25,Mann Co. Supply Crate,5022.0,6,Tradable,Craftable,26,metal,0.01,1369245372.0,-0.01
26,Mann Co. Supply Crate,5022.0,6,Tradable,Craftable,27,metal,0.05,1448072597.0,-0.03
27,Mann Co. Supply Crate,5022.0,6,Tradable,Craftable,20,metal,1.66,1436541086.0,-0.34
28,Mann Co. Supply Crate,5022.0,6,Tradable,Craftable,21,metal,2.33,1432682690.0,-2.0
29,Mann Co. Supply Crate,5022.0,6,Tradable,Craftable,23,metal,0.44,1450459716.0,-0.055
30,Mann Co. Supply Crate,5022.0,6,Tradable,Craftable,47,metal,0.01,1348961274.0,-0.04
31,Mann Co. Supply Crate,5022.0,6,Tradable,Craftable,44,metal,0.01,1342032034.0,-0.04
32,Mann Co. Supply Crate,5022.0,6,Tradable,Craftable,45,metal,0.01,1342293861.0,-0.04
