Name,DefIndex,QualInt,Trade,Craft,PriceIndex,Currency,Value,Last_Update,Difference
A Brush with Death,30186.0,6,Tradable,Craftable,0,metal,5.0,1452896758.0,0.5
A Color Similar to Slate,5052.0,6,Tradable,Craftable,0,metal,7.0,1440546430.0,0.5
A Deep Commitment to Purple,5031.0,6,Tradable,Craftable,0,metal,8.0,1452282722.0,2.835
A Distinctive Lack of Hue,5040.0,6,Tradable,Craftable,0,keys,1.2,1454010649.0,-4.62375
A Distinctive Lack of Hue,5040.0,6,Tradable,Non-Craftable,0,metal,11.0,1453070238.0,-2.0
A Hat to Kill For,30753.0,6,Tradable,Craftable,0,metal,6.0,1453625734.0,-0.33
A Hat to Kill For,30753.0,11,Tradable,Craftable,0,metal,14.0,1453940329.0,14.5
A Head Full of Hot Air,30662.0,5,Tradable,Craftable,91,keys,46.0,1449066881.0,940.5
A Head Full of Hot Air,30662.0,5,Tradable,Craftable,92,keys,31.0,1448173874.0,594.0
A Head Full of Hot Air,30662.0,5,Tradable,Craftable,93,keys,29.0,1447913871.0,544.0
A Head Full of Hot Air,30662.0,5,Tradable,Craftable,94,keys,25.0,1448173855.0,486.0
A Head Full of Hot Air,30662.0,5,Tradable,Craftable,95,keys,25.0,1448173841.0,450.0
A Head Full of Hot Air,30662.0,5,Tradable,Craftable,96,keys,18.0,1453761983.0,62.79
A Head Full of Hot Air,30662.0,5,Tradable,Craftable,97,keys,21.0,1448072331.0,416.5
A Head Full of Hot Air,30662.0,5,Tradable,Craftable,98,keys,17.0,1448130161.0,360.0
A Head Full of Hot Air,30662.0,5,Tradable,Craftable,99,keys,80.0,1449126362.0,1900.0
A Head Full of Hot Air,30662.0,6,Tradable,Craftable,0,metal,1.44,1447781445.0,0.11
A Head Full of Hot Air,30662.0,11,Tradable,Craftable,0,metal,3.77,1451893796.0,-0.23
A Mann's Mint,5076.0,6,Tradable,Craftable,0,keys,1.0,1450216068.0,4.78
A Random Duck Token Gift,5780.0,6,Tradable,Non-Craftable,0,keys,1.6,1454032265.0,-3.699
A Random End of the Line Key Gift,5777.0,6,Tradable,Non-Craftable,0,keys,1.0,1419626119.0,-0.42075
A Random Robo Community Crate Key Gift,5638.0,6,Tradable,Non-Craftable,0,keys,1.0,1393550921.0,-0.529125
A Random Summer Cooler Key Gift,5659.0,6,Tradable,Non-Craftable,0,keys,1.0,1378858457.0,-0.35
A Rather Festive Tree,341.0,5,Tradable,Craftable,10,keys,55.0,1445980158.0,-56.385
A Rather Festive Tree,341.0,5,Tradable,Craftable,11,keys,21.0,1435842513.0,-95.275
A Rather Festive Tree,341.0,5,Tradable,Craftable,12,keys,16.0,1413933108.0,-37.2328125
A Rather Festive Tree,341.0,5,Tradable,Craftable,13,keys,130.0,1439447170.0,144.0
A Rather Festive Tree,341.0,5,Tradable,Craftable,14,keys,125.0,1445836162.0,225.54
A Rather Festive Tree,341.0,5,Tradable,Craftable,15,keys,35.0,1442502633.0,-48.165
A Rather Festive Tree,341.0,5,Tradable,Craftable,16,keys,40.0,1448361494.0,-130.62
A Rather Festive Tree,341.0,5,Tradable,Craftable,17,keys,83.0,1452399843.0,-104.97
A Rather Festive Tree,341.0,5,Tradable,Craftable,18,keys,23.0,1449292489.0,-47.5
A Rather Festive Tree,341.0,5,Tradable,Craftable,19,keys,45.0,1446616610.0,-72.495
A Rather Festive Tree,341.0,5,Tradable,Craftable,29,keys,22.0,1450981590.0,-26.2425
A Rather Festive Tree,341.0,5,Tradable,Craftable,30,keys,40.0,1446675116.0,80.55
A Rather Festive Tree,341.0,5,Tradable,Craftable,31,keys,14.0,1449294371.0,-104.5
A Rather Festive Tree,341.0,5,Tradable,Craftable,32,keys,18.0,1450493999.0,-26.2425
A Rather Festive Tree,341.0,5,Tradable,Craftable,33,keys,20.0,1450400405.0,26.2425
